时间(UTC),合约,方向,价格,数量,成交额,手续费,手续费结算币种,已实现盈亏,计价资产
2025-11-04 16:47:17,ETHUSDT,卖出,3442.04,0.733,2523.01532,1.26150765,USDT,-27.82468,USDT
2025-11-04 16:11:41,ETHUSDT,买入,3480,0.733,2550.84,0.51016799,USDT,0,USDT
2025-11-04 15:45:42,ETHUSDT,卖出,3538.61,0.737,2607.95557,1.30397778,USDT,4.89863497,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.054,193.02246,0.09651123,USDT,2.29644305,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.086,307.40614,0.15370307,USDT,3.65729819,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.081,289.53369,0.14476684,USDT,3.44466457,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.081,289.53369,0.14476684,USDT,3.44466457,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.085,303.83165,0.15191582,USDT,3.61477146,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.054,193.02246,0.09651123,USDT,2.29644305,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.02,71.4898,0.0357449,USDT,0.85053446,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.006,21.44694,0.01072347,USDT,0.25516033,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.18,643.4082,0.3217041,USDT,7.65481016,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.014,50.04286,0.02502143,USDT,0.59537412,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.012,42.89388,0.02144694,USDT,0.51032067,USDT
2025-11-04 15:27:05,ETHUSDT,卖出,3574.49,0.006,21.44694,0.01072347,USDT,0.25516033,USDT
2025-11-04 15:14:35,ETHUSDT,买入,3545,0.706,2502.77,0.500554,USDT,0,USDT
2025-11-04 13:38:22,ETHUSDT,买入,3519,0.71,2498.49,0.499698,USDT,0,USDT
